2025-04-01T12:42:13Z|copy_multiple_videos_to_project.stdout_success||complete||8 videos copied to project.
2025-04-01T12:45:15Z|.stdout_success||complete||Imported 8 pose estimation file(s) to directory
2025-04-01T12:52:25Z|.stdout_success||complete||Project directory tree and project_config.ini created in C:/Users/User/Desktop/Tank2_o1-o2_hot\God30\project_folder
2025-04-01T13:54:19Z|SimbaProjectPopUp.stdout_success||complete||Loaded project C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T13:54:56Z|VideoInfoTable||CLASS_INIT||config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T13:55:31Z|VideoInfoTable.InvalidInputError||error||SIMBA VALUE ERROR: The *DISTANCE IN MM* for video C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\6Sept24_Tank1_Dawn_pt1_1080p.mp4 is <=0. The *DISTANCE IN MM* has to be a value above 0.
2025-04-01T13:59:08Z|VideoInfoTable.stdout_success||complete||Video info saved at project_folder/logs/video_info.csv
2025-04-01T13:59:37Z|OutlierCorrectionSkipper.DataHeaderError||error||SIMBA DATA HEADER ERROR: SIMBA ERROR: SimBA expects 21 columns of data inside the files within project_folder/csv/input_csv directory. However, within file C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\csv\input_csv\6Sept24_Tank1_Dawn_pt1_1080p.csv file, SimBA found 57 columns. Thus, there is 36 more data columns in the imported data than anticipated, which may represent 12 bodyparts if each body-part has an x, y and p value. Either revise the SimBA project pose-configuration with 12 more body-part, or include 12 less body-part in the imported data
2025-04-01T14:01:48Z|OutlierCorrectionSkipper.DataHeaderError||error||SIMBA DATA HEADER ERROR: SIMBA ERROR: SimBA expects 15 columns of data inside the files within project_folder/csv/input_csv directory. However, within file C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\csv\input_csv\6Sept24_Tank1_Dawn_pt1_1080p.csv file, SimBA found 57 columns. Thus, there is 42 more data columns in the imported data than anticipated, which may represent 14 bodyparts if each body-part has an x, y and p value. Either revise the SimBA project pose-configuration with 14 more body-part, or include 14 less body-part in the imported data
2025-04-01T14:18:38Z|OutlierCorrectionSkipper.DataHeaderError||error||SIMBA DATA HEADER ERROR: SIMBA ERROR: SimBA expects 15 columns of data inside the files within project_folder/csv/input_csv directory. However, within file C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\csv\input_csv\6Sept24_Tank1_Dawn_pt1_1080p.csv file, SimBA found 57 columns. Thus, there is 42 more data columns in the imported data than anticipated, which may represent 14 bodyparts if each body-part has an x, y and p value. Either revise the SimBA project pose-configuration with 14 more body-part, or include 14 less body-part in the imported data
2025-04-01T14:18:48Z|OutlierCorrectionSkipper.DataHeaderError||error||SIMBA DATA HEADER ERROR: SIMBA ERROR: SimBA expects 15 columns of data inside the files within project_folder/csv/input_csv directory. However, within file C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\csv\input_csv\6Sept24_Tank1_Dawn_pt1_1080p.csv file, SimBA found 57 columns. Thus, there is 42 more data columns in the imported data than anticipated, which may represent 14 bodyparts if each body-part has an x, y and p value. Either revise the SimBA project pose-configuration with 14 more body-part, or include 14 less body-part in the imported data
2025-04-01T14:19:26Z|.stdout_success||complete||Skipped outlier correction for 8 files
2025-04-01T14:34:24Z|SimbaProjectPopUp.stdout_success||complete||Custom feature extraction complete!
2025-04-01T19:10:14Z|SimbaProjectPopUp.stdout_success||complete||Loaded project C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:10:20Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\6Sept24_Tank1_Dawn_pt1_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:12:57Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 6Sept24_Tank1_Dawn_pt1_1080p
2025-04-01T19:13:00Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\6Sept24_Tank1_Dawn_pt2_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:13:06Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 6Sept24_Tank1_Dawn_pt2_1080p
2025-04-01T19:13:10Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\6Sept24_Tank1_Midday_pt1_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:13:29Z|ROI_definitions.NoROIDataError||error||SIMBA NO ROI DATA ERROR: No shape type selected.
2025-04-01T19:16:13Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 6Sept24_Tank1_Midday_pt1_1080p
2025-04-01T19:16:21Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\6Sept24_Tank1_Midday_pt2_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:16:29Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 6Sept24_Tank1_Midday_pt2_1080p
2025-04-01T19:16:33Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\7Sept24_Tank1_Dawn_pt1_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:19:27Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 7Sept24_Tank1_Dawn_pt1_1080p
2025-04-01T19:19:30Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 7Sept24_Tank1_Dawn_pt1_1080p
2025-04-01T19:19:34Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\7Sept24_Tank1_Dawn_pt2_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:21:13Z|SimbaProjectPopUp.stdout_success||complete||Loaded project C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:21:18Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\6Sept24_Tank1_Midday_pt2_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:21:21Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\7Sept24_Tank1_Dawn_pt1_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:21:24Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\7Sept24_Tank1_Dawn_pt2_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:21:45Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 7Sept24_Tank1_Dawn_pt2_1080p
2025-04-01T19:21:50Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\7Sept24_Tank1_Dawn_pt2_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:21:53Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\7Sept24_Tank1_Midday_pt1_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:21:58Z|ROI_definitions||CLASS_INIT||video_path: C:/Users/User/Desktop/Tank1b_o1-o2_control\God20\project_folder\videos\7Sept24_Tank1_Midday_pt2_1080p.mp4, config_path: C:/Users/User/Desktop/Tank1b_o1-o2_control/God20/project_folder/project_config.ini
2025-04-01T19:24:58Z|ROI_definitions.stdout_success||complete||ROI definitions saved for video: 7Sept24_Tank1_Midday_pt2_1080p
